original_language,original_text,target_language,translated_text
en-US,What a fantastic cover drive by the batsmen. The timing was perfect and the ball races away to the boundary. The crowd is loving this performance and the bowler looks a bit frustrated after that elegant shot.,es,Qué fantástica cobertura de los bateadores. El momento fue perfecto y la pelota se alejó hacia el límite. A la multitud le encanta esta actuación y el jugador de bolos parece un poco frustrado después de ese elegante tiro.
en-US,What a fantastic cover drive by the batsmen. The timing was perfect and the ball races away to the boundary. The crowd is loving this performance and the bowler looks a bit frustrated after that elegant shot.,de,Was für ein fantastischer Cover-Drive der Schlagmänner. Das Timing war perfekt und der Ball raste bis zur Grenze. Das Publikum liebt diese Darbietung und der Bowler sieht nach diesem eleganten Wurf etwas frustriert aus.
en-US,"Hello, you are listening to today's top news. After a light rain this morning in Delhi, the weather has become pleasant, bringing relief from the heat.",hi,"हैलो, आप आज की बड़ी खबरें सुन रहे हैं। दिल्ली में आज सुबह हल्की बारिश के बाद मौसम सुहावना हो गया है, जिससे गर्मी से राहत मिली है।"
en-US,"Hello, you are listening to today's top news. After a light rain this morning in Delhi, the weather has become pleasant, bringing relief from the heat.",fr,"Bonjour, vous écoutez les principales nouvelles du jour. Après une pluie légère ce matin à Delhi, le temps est devenu agréable, apportant un soulagement à la chaleur."
en-US,"Hello, you are listening to today's top news. After a light rain this morning in Delhi, the weather has become pleasant, bringing relief from the heat.",es,"Hola, estás escuchando las principales noticias de hoy. Después de una ligera lluvia esta mañana en Delhi, el clima se ha vuelto agradable, aliviando el calor."
en-US,"Hello, you are listening to today's top news. After a light rain this morning in Delhi, the weather has become pleasant, bringing relief from the heat.",de,"Hallo, Sie hören gerade die Top-Nachrichten von heute. Nach einem leichten Regen heute Morgen in Delhi ist das Wetter angenehm geworden und bringt Erleichterung von der Hitze."
en-US,"Today's weather remains mostly clear, with gentle winds in the morning. However, scattered thunderstorms are likely in the evening, especially around coastal areas.",hi,"आज का मौसम ज्यादातर साफ रहता है, सुबह हल्की हवाएं चल सकती हैं। हालांकि, शाम को छिटपुट गरज के साथ छींटे पड़ने की संभावना है, खासकर तटीय क्षेत्रों के आसपास।"
en-US,"Today's weather remains mostly clear, with gentle winds in the morning. However, scattered thunderstorms are likely in the evening, especially around coastal areas.",fr,"Le temps d’aujourd’hui reste généralement dégagé, avec des vents doux le matin. Cependant, des orages épars sont probables dans la soirée, en particulier autour des zones côtières."
en-US,"Today's weather remains mostly clear, with gentle winds in the morning. However, scattered thunderstorms are likely in the evening, especially around coastal areas.",es,"El clima de hoy permanece mayormente despejado, con vientos suaves por la mañana. Sin embargo, es probable que se produzcan tormentas eléctricas dispersas por la noche, especialmente alrededor de las zonas costeras."
en-US,"Today's weather remains mostly clear, with gentle winds in the morning. However, scattered thunderstorms are likely in the evening, especially around coastal areas.",de,"Das heutige Wetter bleibt überwiegend klar, mit leichten Winden am Morgen. Am Abend sind jedoch vereinzelte Gewitter wahrscheinlich, vor allem in der Nähe der Küstengebiete."
hi-IN,"पिछले दशक में संचार तकनीक का तेजी से विकास हुआ है। वॉइस असिस्टेंट, रियल टाइम ट्रांसलेशन और स्पीच रिग्निशन सिस्टम रोज़मर्रा की जिंदगी का हिस्सा बनते जा रहे हैं।",hi,"पिछले दशक में संचार तकनीक का तेजी से विकास हुआ है। वॉइस असिस्टेंट, रियल टाइम ट्रांसलेशन और स्पीच रिग्निशन सिस्टम रोज़मर्रा की जिंदगी का हिस्सा बनते जा रहे हैं।"
hi-IN,"पिछले दशक में संचार तकनीक का तेजी से विकास हुआ है। वॉइस असिस्टेंट, रियल टाइम ट्रांसलेशन और स्पीच रिग्निशन सिस्टम रोज़मर्रा की जिंदगी का हिस्सा बनते जा रहे हैं।",fr,"Les technologies de la communication se sont développées rapidement au cours de la dernière décennie. Les assistants vocaux, la traduction en temps réel et les systèmes de reconnaissance vocale font de plus en plus partie de la vie quotidienne."
hi-IN,"पिछले दशक में संचार तकनीक का तेजी से विकास हुआ है। वॉइस असिस्टेंट, रियल टाइम ट्रांसलेशन और स्पीच रिग्निशन सिस्टम रोज़मर्रा की जिंदगी का हिस्सा बनते जा रहे हैं।",es,"La tecnología de la comunicación se ha desarrollado rápidamente en la última década. Los asistentes de voz, la traducción en tiempo real y los sistemas de reconocimiento de voz se están convirtiendo en parte de la vida cotidiana."
hi-IN,"पिछले दशक में संचार तकनीक का तेजी से विकास हुआ है। वॉइस असिस्टेंट, रियल टाइम ट्रांसलेशन और स्पीच रिग्निशन सिस्टम रोज़मर्रा की जिंदगी का हिस्सा बनते जा रहे हैं।",de,"Die Kommunikationstechnologie hat sich in den letzten zehn Jahren rasant weiterentwickelt. Sprachassistenten, Echtzeit-Übersetzung und Spracherkennungssysteme werden zum festen Bestandteil des Alltags."
hi-IN,स्टेडियम में माहौल जोश से भरा हुआ है।,hi,स्टेडियम में माहौल जोश से भरा हुआ है।
hi-IN,स्टेडियम में माहौल जोश से भरा हुआ है।,fr,L’ambiance dans le stade est pleine d’enthousiasme.
hi-IN,स्टेडियम में माहौल जोश से भरा हुआ है।,es,El ambiente en el estadio está lleno de entusiasmo.
hi-IN,स्टेडियम में माहौल जोश से भरा हुआ है।,de,Die Stimmung im Stadion ist voller Enthusiasmus.
hi-IN,आखिरी ओवर के तीसरे गेंद और बल्लेबाज ने छक्का जड़ दिया। दर्शक अपनी सीटों से उठ खड़े हुए हैं। मैच अब पूरी तरह से रोमांचक मोड़ पर पहुँच गया है।,hi,आखिरी ओवर के तीसरे गेंद और बल्लेबाज ने छक्का जड़ दिया। दर्शक अपनी सीटों से उठ खड़े हुए हैं। मैच अब पूरी तरह से रोमांचक मोड़ पर पहुँच गया है।
hi-IN,आखिरी ओवर के तीसरे गेंद और बल्लेबाज ने छक्का जड़ दिया। दर्शक अपनी सीटों से उठ खड़े हुए हैं। मैच अब पूरी तरह से रोमांचक मोड़ पर पहुँच गया है।,fr,La troisième balle du dernier over et le batteur a frappé un six. Le public s’est levé de ses sièges. Le match a maintenant atteint un tournant complètement excitant.
hi-IN,आखिरी ओवर के तीसरे गेंद और बल्लेबाज ने छक्का जड़ दिया। दर्शक अपनी सीटों से उठ खड़े हुए हैं। मैच अब पूरी तरह से रोमांचक मोड़ पर पहुँच गया है।,es,La tercera bola del último over y el bateador golpeó un seis. La audiencia se ha levantado de sus asientos. El partido ha llegado a una coyuntura completamente emocionante.
hi-IN,आखिरी ओवर के तीसरे गेंद और बल्लेबाज ने छक्का जड़ दिया। दर्शक अपनी सीटों से उठ खड़े हुए हैं। मैच अब पूरी तरह से रोमांचक मोड़ पर पहुँच गया है।,de,Der dritte Ball des letzten Overs und der Schlagmann traf eine Sechs. Das Publikum hat sich von seinen Sitzen erhoben. Das Spiel hat nun einen völlig spannenden Punkt erreicht.
hi-IN,"नमस्कार आप सुन रहे हैं आज की प्रमुख खबरें दिल्ली में आज सुबह हल्की बारिश के बाद मौसम सुहावना हो गया है, जिससे लोगों को गर्मी से राहत मिली है।",hi,"नमस्कार आप सुन रहे हैं आज की प्रमुख खबरें दिल्ली में आज सुबह हल्की बारिश के बाद मौसम सुहावना हो गया है, जिससे लोगों को गर्मी से राहत मिली है।"
hi-IN,"नमस्कार आप सुन रहे हैं आज की प्रमुख खबरें दिल्ली में आज सुबह हल्की बारिश के बाद मौसम सुहावना हो गया है, जिससे लोगों को गर्मी से राहत मिली है।",fr,"Bonjour, vous écoutez les gros titres d’aujourd’hui, le temps est devenu agréable à Delhi après une pluie légère ce matin, soulageant les gens de la chaleur."
hi-IN,"नमस्कार आप सुन रहे हैं आज की प्रमुख खबरें दिल्ली में आज सुबह हल्की बारिश के बाद मौसम सुहावना हो गया है, जिससे लोगों को गर्मी से राहत मिली है।",es,"Hola, estás escuchando los titulares de hoy, el clima se ha vuelto agradable en Delhi después de la lluvia ligera de esta mañana, aliviando a la gente del calor."
hi-IN,"नमस्कार आप सुन रहे हैं आज की प्रमुख खबरें दिल्ली में आज सुबह हल्की बारिश के बाद मौसम सुहावना हो गया है, जिससे लोगों को गर्मी से राहत मिली है।",de,"Hallo, Sie hören sich die heutigen Schlagzeilen an, das Wetter in Delhi ist nach leichtem Regen heute Morgen angenehm geworden, was den Menschen Erleichterung von der Hitze verschafft."
hi-IN,आज मौसम ज्यादातर साफ रहेगा और सुबह हल्की हवाएं चलेंगी।,hi,आज मौसम ज्यादातर साफ रहेगा और सुबह हल्की हवाएं चलेंगी।
hi-IN,आज मौसम ज्यादातर साफ रहेगा और सुबह हल्की हवाएं चलेंगी।,fr,Le temps sera généralement dégagé aujourd’hui avec des vents légers le matin.
hi-IN,आज मौसम ज्यादातर साफ रहेगा और सुबह हल्की हवाएं चलेंगी।,es,El clima estará mayormente despejado hoy con vientos ligeros por la mañana.
hi-IN,आज मौसम ज्यादातर साफ रहेगा और सुबह हल्की हवाएं चलेंगी।,de,Das Wetter wird heute überwiegend klar sein und am Morgen leichter Wind wehen.
